STT	BaiToan	Code_C	"?? BÀI T?P 1
Vi?t ch??ng trình tính th? tích hình chóp c?t ??u có di?n tích ?áy l?n S, di?n tích ?áy nh? s và chi?u cao h. Th? tích hình chóp c?t ??u ???c xác ??nh b?i công th?c:
V=13?h?(S+Ss+s)V = \frac{1}{3} * h * (S + \sqrt{Ss} + s)V=31?h?(S+Ss+s) 
(di?n gi?i công th?c: m?t ph?n ba * chi?u cao h * t?ng di?n tích ?áy l?n, di?n tích ?áy nh? và c?n b?c hai tích di?n tích ?áy l?n và ?áy nh?)
________________________________________
Mô t? d? li?u testcase:
•	Input: G?m T+1 dòng; dòng ??u tiên là s? l??ng testcase T; T dòng ti?p theo, m?i dòng g?m giá tr? th?c S, s và h t??ng ?ng d? li?u c?a m?t testcase.
•	Output: K?t qu? c?a m?i testcase trên m?t hàng, in 02 ch? s? sau d?u ph?y. N?u không tính ???c thì in ra ND.
Minh h?a d? li?u testcase:
Input:
1
2.0 2.0 1.5
Output:
3.00
? Code C:
#include <stdio.h>
#include <math.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        double S, s, h;
        if (scanf(""%lf %lf %lf"", &S, &s, &h) != 3 || S < 0 || s < 0 || h < 0) {
            printf(""ND\n"");
            continue;
        }
        double V = (1.0 / 3.0) * h * (S + sqrt(S * s) + s);
        printf(""%.2lf\n"", V);
  }
    return 0;
}
________________________________________
?? BÀI T?P 2
Cho m?t ma tr?n các s? nguyên A kích th??c m×n. Ng??i ta th?c hi?n duy?t các hàng và c?t ngoài cùng t? m?t v? trí cho tr??c theo m?t chi?u nh?t ??nh. D?c theo ???ng duy?t, li?t kê t?t c? các s? nguyên t? theo th? t? duy?t.
V? trí ban ??u t?i góc trên bên ph?i (hàng 0, c?t n?1) và duy?t theo chi?u ng??c chi?u kim ??ng h?.
Mô t? d? li?u testcase:
•	Input: Dòng ??u tiên là s? l??ng b? testcase T; T*(m+1) dòng ti?p theo là d? li?u các b? testcase; m?i b? testcase g?m m+1 hàng, trong ?ó hàng ??u tiên là giá tr? m và n, m hàng ti?p theo, m?i hàng g?m n ph?n t? t??ng ?ng v?i hàng c?a ma tr?n.
•	Output: K?t qu? m?i testcase trên m?t hàng.
Minh h?a d? li?u testcase:
Input:
1
3 3
1 2 3
4 5 6
7 8 9
Output:
327
? Code C:
#include <stdio.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        int m, n;
        scanf(""%d %d"", &m, &n);
        int A[100][100]; 
        for (int i = 0; i < m; ++i)
            for (int j = 0; j < n; ++j)
                scanf(""%d"", &A[i][j]);
        for (int i = 0; i < m; ++i)
            printf(""%d"", A[i][n - 1]);
        for (int j = n - 2; j >= 0; --j)
            printf(""%d"", A[m - 1][j]);
        for (int j = 1; j < n - 1; ++j)
            printf(""%d"", A[0][j]);
        printf(""\n"");
    }
    return 0;
}
?? BÀI T?P 3
Tính di?n tích hình ch? nh?t
Yêu c?u:
1.	Vi?t ch??ng trình tính di?n tích hình ch? nh?t v?i các c?nh a, b.
2.	Ch??ng trình c?n x? lý nhi?u test case.
3.	Input:
o	Dòng ??u tiên là s? M - s? l??ng test case.
o	M dòng ti?p theo, m?i dòng ch?a hai giá tr? a, b.
4.	Output:
o	K?t qu? c?a m?i test case trên m?t dòng. N?u không tính ???c (a ho?c b âm) thì in ""MD"".
5.	Ví d?:
o	Input:
2
1 1
2 3
o	Output:
1.00
6.00
? Code C:
#include <stdio.h>

int main(void) {
    int t;
    scanf(""%d"", &t);
    while (t--) {
        float a, b;
        scanf(""%f %f"", &a, &b);
        if (a < 0 || b < 0) {
            printf(""MD\n"");
        }
        else {
            printf(""%.2f\n"", a * b);
        }
    }
    return 0;
}
"									
56	Gi?i ph??ng trình b?c nh?t ax+b=0.	"#include <stdio.h>

int main() {
    float a, b;
    scanf(""%f %f"", &a, &b);
    if (a == 0) {
        printf(b == 0 ? ""Vô s? nghi?m.\n"" : ""Vô nghi?m.\n"");
    } else {
        printf(""Nghi?m: x = %.2f\n"", -b / a);
    }
    return 0;
}"										
57	Tính ti?n ?i?n theo b?c thang (if-else l?ng nhau; s? d?ng b?c thang c?a EVN hi?n hành).	"#include <stdio.h>

int main() {
    int kWh;
    float cost = 0;
    scanf(""%d"", &kWh);
    if (kWh <= 50) {
        cost = kWh * 1678;
    } else if (kWh <= 100) {
        cost = 50 * 1678 + (kWh - 50) * 1734;
    } else if (kWh <= 200) {
        cost = 50 * 1678 + 50 * 1734 + (kWh - 100) * 2014;
    } else if (kWh <= 300) {
        cost = 50 * 1678 + 50 * 1734 + 100 * 2014 + (kWh - 200) * 2536;
    } else if (kWh <= 400) {
        cost = 50 * 1678 + 50 * 1734 + 100 * 2014 + 100 * 2536 + (kWh - 300) * 2834;
    } else {
        cost = 50 * 1678 + 50 * 1734 + 100 * 2014 + 100 * 2536 + 100 * 2834 + (kWh - 400) * 2927;
    }
    printf(""Ti?n ?i?n: %.2f VND\n"", cost);
    return 0;
}"										
58	Tính ti?n taxi theo kho?ng cách (if-else l?ng nhau; s? d?ng chính sách giá c?a SM Xanh Taxi).	"#include <stdio.h>

int main() {
    float km, cost = 0;
    scanf(""%f"", &km);
    if (km <= 1) {
        cost = 15000;
    } else if (km <= 5) {
        cost = 15000 + (km - 1) * 13500;
    } else if (km <= 120) {
        cost = 15000 + 4 * 13500 + (km - 5) * 11000;
    } else {
        cost = (15000 + 4 * 13500 + (km - 5) * 11000) * 0.9;
    }
    printf(""Ti?n taxi: %.2f VND\n"", cost);
    return 0;
}"										
59	Ki?m tra m?t s? có chia h?t cho 3 và 5 hay không.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    printf(n % 3 == 0 && n % 5 == 0 ? ""Chia h?t cho c? 3 và 5.\n"" : ""Không chia h?t cho c? 3 và 5.\n"");
    return 0;
}"										
60	"Nh?p 3 s? nguyên, ki?m tra có t?o thành tam giác vuông không."	"#include <stdio.h>

int main() {
    float a, b, c;
    scanf(""%f %f %f"", &a, &b, &c);
    if (a + b > c && a + c > b && b + c > a) {
        if (a * a + b * b == c * c || a * a + c * c == b * b || b * b + c * c == a * a) {
            printf(""Là tam giác vuông.\n"");
        } else {
            printf(""Không ph?i tam giác vuông.\n"");
        }
    } else {
        printf(""Không ph?i tam giác.\n"");
    }
    return 0;
}"										
61	"Nh?p tu?i, ki?m tra có ?? ?i?u ki?n thi b?ng lái xe không (? 18 tu?i)."	"#include <stdio.h>

int main() {
    int age;
    scanf(""%d"", &age);
    printf(age >= 18 ? ""?? ?i?u ki?n thi b?ng lái xe.\n"" : ""Không ?? ?i?u ki?n thi b?ng lái xe.\n"");
    return 0;
}"										
62	"Nh?p vào s? t? 1 ??n 7, in ra th? trong tu?n t??ng ?ng (Quy ??c: 1 ? Ch? nh?t, 2 ? Th? hai...)."	"#include <stdio.h>

int main() {
    int day;
    scanf(""%d"", &day);
    switch (day) {
        case 1: printf(""Ch? nh?t\n""); break;
        case 2: printf(""Th? hai\n""); break;
        case 3: printf(""Th? ba\n""); break;
        case 4: printf(""Th? t?\n""); break;
        case 5: printf(""Th? n?m\n""); break;
        case 6: printf(""Th? sáu\n""); break;
        case 7: printf(""Th? b?y\n""); break;
        default: printf(""Không h?p l?.\n"");
    }
    return 0;
}"										
63	"Nh?p vào tháng, in ra s? ngày trong tháng (có xét n?m nhu?n n?u là tháng 2)."	"#include <stdio.h>

int main() {
    int month, year;
    scanf(""%d %d"", &month, &year);
    switch (month) {
        case 1: case 3: case 5: case 7: case 8: case 10: case 12:
            printf(""31 ngày\n""); break;
        case 4: case 6: case 9: case 11:
            printf(""30 ngày\n""); break;
        case 2:
            if ((year % 4 == 0 && year % 100 != 0) || year % 400 == 0) {
                printf(""29 ngày\n"");
            } else {
                printf(""28 ngày\n"");
            }
            break;
        default: printf(""Tháng không h?p l?.\n"");
    }
    return 0;
}"										
64	"Menu l?a ch?n phép tính: c?ng, tr?, nhân, chia 2 s?."	"#include <stdio.h>

int main() {
    int choice;
    float a, b;
    printf(""Ch?n phép tính (1: C?ng, 2: Tr?, 3: Nhân, 4: Chia): "");
    scanf(""%d"", &choice);
    scanf(""%f %f"", &a, &b);
    switch (choice) {
        case 1: printf(""K?t qu?: %.2f\n"", a + b); break;
        case 2: printf(""K?t qu?: %.2f\n"", a - b); break;
        case 3: printf(""K?t qu?: %.2f\n"", a * b); break;
        case 4:
            if (b != 0) {
                printf(""K?t qu?: %.2f\n"", a / b);
            } else {
                printf(""Không th? chia cho 0.\n"");
            }
            break;
        default: printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
65	"Nh?p m?t ch? cái hoa, in ra ch? th??ng t??ng ?ng (A ? a, B ? b...)."	"#include <stdio.h>

int main() {
    char c;
    scanf("" %c"", &c);
    if (c >= 'A' && c <= 'Z') {
        printf(""%c\n"", c + 32);
    } else {
        printf(""Không ph?i ch? cái hoa.\n"");
    }
    return 0;
}"										
66	"Chuy?n ??i ??n v?: l?a ch?n gi?a km ? m, m ? cm, kg ? g..."	"#include <stdio.h>

int main() {
    int choice;
    float value;
    printf(""Ch?n ??n v? (1: km ? m, 2: m ? cm, 3: kg ? g): "");
    scanf(""%d"", &choice);
    scanf(""%f"", &value);
    switch (choice) {
        case 1: printf(""%.2f km = %.2f m\n"", value, value * 1000); break;
        case 2: printf(""%.2f m = %.2f cm\n"", value, value * 100); break;
        case 3: printf(""%.2f kg = %.2f g\n"", value, value * 1000); break;
        default: printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
67	"Nh?p ?i?m (0–10), dùng switch in ra nh?n xét: 10 ? Xu?t s?c, 9–8 ? Gi?i, v.v."	"#include <stdio.h>

int main() {
    int score;
    scanf(""%d"", &score);
    switch (score) {
        case 10: printf(""Xu?t s?c\n""); break;
        case 9: case 8: printf(""Gi?i\n""); break;
        case 7: printf(""Khá\n""); break;
        case 6: case 5: printf(""Trung bình\n""); break;
        case 4: case 3: case 2: case 1: case 0: printf(""Y?u\n""); break;
        default: printf(""?i?m không h?p l?.\n"");
    }
    return 0;
}"										
68	Ch?n lo?i s?n ph?m và in ra giá bán theo mã l?a ch?n (t? ch?n m?t danh sách các s?n ph?m).	"#include <stdio.h>

int main() {
    int code;
    printf(""Nh?p mã s?n ph?m (1-3): "");
    scanf(""%d"", &code);
    switch (code) {
        case 1: printf(""Giá: 10000 VND\n""); break;
        case 2: printf(""Giá: 20000 VND\n""); break;
        case 3: printf(""Giá: 30000 VND\n""); break;
        default: printf(""Mã không h?p l?.\n"");
    }
    return 0;
}"										
69	"Tính toán ti?n l??ng theo c?p b?c ch?n t? menu (A, B, C...: t? ch?n c?p b?c và m?c l??ng)."	"#include <stdio.h>

int main() {
    char grade;
    printf(""Nh?p c?p b?c (A, B, C): "");
    scanf("" %c"", &grade);
    switch (grade) {
        case 'A': printf(""L??ng: 10000000 VND\n""); break;
        case 'B': printf(""L??ng: 8000000 VND\n""); break;
        case 'C': printf(""L??ng: 5000000 VND\n""); break;
        default: printf(""C?p b?c không h?p l?.\n"");
    }
    return 0;
}"										
70	In ra dãy s? t? 1 ??n n (n nh?p t? bàn phím).	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        printf(""%d "", i);
    }
    printf(""\n"");
    return 0;
}"										
71	In ra các s? ch?n t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        printf(""%d "", i);
    }
    printf(""\n"");
    return 0;
}"										
72	In ra các s? l? t? n ??n 1 (ng??c l?i).	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = n; i >= 1; i--) {
        if (i % 2 != 0) {
            printf(""%d "", i);
        }
    }
    printf(""\n"");
    return 0;
}"										
73	Tính t?ng các s? t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    printf(""T?ng: %d\n"", sum);
    return 0;
}"										
74	Tính t?ng các s? ch?n t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 2; i <= n; i += 2) {
        sum += i;
    }
    printf(""T?ng: %d\n"", sum);
    return 0;
}"										
75	Tính tích các s? t? 1 ??n n (s? d?ng vòng l?p).	"#include <stdio.h>

int main() {
    int n;
    long long product = 1;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        product *= i;
    }
    printf(""Tích: %lld\n"", product);
    return 0;
}"										
76	Tính t?ng các s? chia h?t cho 3 và 5 trong các s? t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        if (i % 3 == 0 && i % 5 == 0) {
            sum += i;
        }
    }
    printf(""T?ng: %d\n"", sum);
    return 0;
}"										
77	In b?ng c?u ch??ng c?a m?t s? n.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = 1; i <= 10; i++) {
        printf(""%d x %d = %d\n"", n, i, n * i);
    }
    return 0;
}"										
78	In b?ng các c?u ch??ng t? b?ng c?u ch??ng 2 ??n b?ng c?u ch??ng 9.	"#include <stdio.h>

int main() {
    for (int i = 2; i <= 9; i++) {
        for (int j = 1; j <= 10; j++) {
            printf(""%d x %d = %d\n"", i, j, i * j);
        }
        printf(""\n"");
    }
    return 0;
}"										
79	??m có bao nhiêu s? chia h?t cho 7 trong kho?ng 1 ??n n.	"#include <stdio.h>

int main() {
    for (int i = 2; i <= 9; i++) {
        for (int j = 1; j <= 10; j++) {
            printf(""%d x %d = %d\n"", i, j, i * j);
        }
        printf(""\n"");
    }
    return 0;
}"										
80	Ki?m tra m?t s? có ph?i là s? nguyên t?.	"#include <stdio.h>

int main() {
    int n, count = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        if (i % 7 == 0) {
            count++;
        }
    }
    printf(""S? l??ng: %d\n"", count);
    return 0;
}"										
81	In ra các s? nguyên t? t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, isPrime = 1;
    scanf(""%d"", &n);
    if (n <= 1) {
        isPrime = 0;
    } else {
        for (int i = 2; i * i <= n; i++) {
            if (n % i == 0) {
                isPrime = 0;
                break;
            }
        }
    }
    printf(isPrime ? ""%d là s? nguyên t?.\n"" : ""%d không là s? nguyên t?.\n"", n);
    return 0;
}"										
82	Tính t?ng các ch? s? c?a m?t s? nguyên.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
83	Tính t?ng các ch? s? là s? nguyên t? c?a m?t s? nguyên.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
84	??o ng??c m?t s? nguyên (ví d? 123 ? 321).	"#include <stdio.h>

int main() {
    int n, reversed = 0;
    scanf(""%d"", &n);
    while (n != 0) {
        reversed = reversed * 10 + n % 10;
        n /= 10;
    }
    printf(""S? ??o ng??c: %d\n"", reversed);
    return 0;
}"										
85	Tính t?ng c?a dãy: S=1+1/2+1/3+...+1/N	"#include <stdio.h>

int main() {
    int n;
    float sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        sum += 1.0 / i;
    }
    printf(""T?ng: %.2f\n"", sum);
    return 0;
}"										
86	"In ra tam giác sao (ch?n 1: in tam giác vuông v?i góc vuông phía trên bên trái, ch?n 2: in tam giác vuông góc vuông phía trên bên ph?i; ch?n 3: tam giác vuông góc vuông phía d??i bên trái; ch?n 4: tam giác vuông v?i góc vuông phía d??i bên ph?i; ch?n 5: tam giác cân v?i ?áy ? trên; 6: tam giác cân v?i dáy ? d??i)."	"#include <stdio.h>

int main() {
    int n, choice;
    printf(""Nh?p s? hàng và l?a ch?n (1-6): "");
    scanf(""%d %d"", &n, &choice);
    switch (choice) {
        case 1:
            for (int i = 1; i <= n; i++) {
                for (int j = 1; j <= i; j++) {
                    printf(""* "");
                }
                printf(""\n"");
            }
            break;
        case 2:
            for (int i = 1; i <= n; i++) {
                for (int j = 1; j <= n - i; j++) {
                    printf(""  "");
                }
                for (int j = 1; j <= i; j++) {
                    printf(""* "");
                }
                printf(""\n"");
            }
            break;
        case 3:
            for (int i = n; i >= 1; i--) {
                for (int j = 1; j <= i; j++) {
                    printf(""* "");
                }
                printf(""\n"");
            }
            break;
        case 4:
            for (int i = n; i >= 1; i--) {
                for (int j = 1; j <= n - i; j++) {
                    printf(""  "");
                }
                for (int j = 1; j <= i; j++) {
                    printf(""* "");
                }
                printf(""\n"");
            }
            break;
        case 5:
            for (int i = 1; i <= n; i++) {
                for (int j = 1; j <= n - i; j++) {
                    printf("" "");
                }
                for (int j = 1; j <= 2 * i - 1; j++) {
                    printf(""*"");
                }
                printf(""\n"");
            }
            break;
        case 6:
            for (int i = n; i >= 1; i--) {
                for (int j = 1; j <= n - i; j++) {
                    printf("" "");
                }
                for (int j = 1; j <= 2 * i - 1; j++) {
                    printf(""*"");
                }
                printf(""\n"");
            }
            break;
        default:
            printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
87	In ra dãy Fibonacci v?i n ph?n t? ??u tiên.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    long long a = 0, b = 1, c;
    printf(""Dãy Fibonacci: "");
    for (int i = 1; i <= n; i++) {
        printf(""%lld "", b);
        c = a + b;
        a = b;
        b = c;
    }
    printf(""\n"");
    return 0;
}"										
88	Ki?m tra m?t s? có ph?i là s? hoàn h?o không (Perfect number).	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i < n; i++) {
        if (n % i == 0) {
            sum += i;
        }
    }
    printf(sum == n ? ""%d là s? hoàn h?o.\n"" : ""%d không là s? hoàn h?o.\n"", n);
    return 0;
}"										
89	In ra b?ng s? nh? phân t? 1 ??n n.	"#include <stdio.h>

void printBinary(int num) {
    if (num == 0) {
        printf(""0"");
        return;
    }
    int binary[32], i = 0;
    while (num > 0) {
        binary[i++] = num % 2;
        num /= 2;
    }
    for (int j = i - 1; j >= 0; j--) {
        printf(""%d"", binary[j]);
    }
}

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        printf(""%d: "", i);
        printBinary(i);
        printf(""\n"");
    }
    return 0;
}"										
90	"In ra b?ng s? nh? phân t? 1 ??n n. M?i s? nh? phân s? g?m m ch? s? (m bít), n?u m< s? bít c?n thi?t thì in ra s? bít c?n thi?t, ng??c l?i, thêm 0 vào bên trái cho ?? m bít."	"#include <stdio.h>

void printBinary(int num, int m) {
    int binary[32], i = 0;
    if (num == 0) {
        for (int j = 0; j < m; j++) {
            printf(""0"");
        }
        return;
    }
    while (num > 0) {
        binary[i++] = num % 2;
        num /= 2;
    }
    int bits = i;
    for (int j = 0; j < m - bits; j++) {
        printf(""0"");
    }
    for (int j = i - 1; j >= 0; j--) {
        printf(""%d"", binary[j]);
    }
}

int main() {
    int n, m;
    scanf(""%d %d"", &n, &m);
    for (int i = 1; i <= n; i++) {
        printf(""%d: "", i);
        printBinary(i, m);
        printf(""\n"");
    }
    return 0;
}"										
91	Vi?t hàm tính t?ng hai s? nguyên.	"#include <stdio.h>

int main() {
    int a, b;
    scanf(""%d%d"", &a, &b);
    printf(""Tong: %d\n"", a + b);
    printf(""Hieu: %d\n"", a - b);
    printf(""Tich: %d\n"", a * b);
    if (b != 0)
        printf(""Thuong: %.2f\n"", (float)a / b);
    else
        printf(""Khong the chia cho 0\n"");
    return 0;
}
"										
92	Vi?t hàm ki?m tra m?t s? có ph?i là s? ch?n.	"#include <stdio.h>

int isEven(int num) {
    return num % 2 == 0;
}

int main() {
    int n;
    scanf(""%d"", &n);
    printf(isEven(n) ? ""%d là s? ch?n.\n"" : ""%d không là s? ch?n.\n"", n);
    return 0;
}"										
93	Vi?t hàm ki?m tra m?t s? có ph?i là s? nguyên t?.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int n;
    scanf(""%d"", &n);
    printf(isPrime(n) ? ""%d là s? nguyên t?.\n"" : ""%d không là s? nguyên t?.\n"", n);
    return 0;
}"										
94	Vi?t hàm tính giai th?a c?a m?t s? nguyên d??ng.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    if (n < 0) {
        printf(""Khong tinh duoc giai thua\n"");
        return 0;
    }
    long long gt = 1;
    for (int i = 2; i <= n; ++i)
        gt *= i;
    printf(""Giai thua: %lld\n"", gt);
    return 0;
}
"										
95	Vi?t hàm tính t?ng các ch? s? c?a m?t s?.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
96	Vi?t hàm tính l?y th?a: a^b	"#include <stdio.h>

long long power(int a, int b) {
    long long result = 1;
    for (int i = 0; i < b; i++) {
        result *= a;
    }
    return result;
}

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""%d^%d = %lld\n"", a, b, power(a, b));
    return 0;
}"										
97	Vi?t hàm tìm s? l?n nh?t trong 3 s? nguyên.	"#include <stdio.h>

int maxOfThree(int a, int b, int c) {
    int max = a;
    if (b > max) max = b;
    if (c > max) max = c;
    return max;
}

int main() {
    int a, b, c;
    scanf(""%d %d %d"", &a, &b, &c);
    printf(""S? l?n nh?t: %d\n"", maxOfThree(a, b, c));
    return 0;
}"										
98	Vi?t hàm ki?m tra m?t n?m có ph?i là n?m nhu?n.	"#include <stdio.h>

int isLeapYear(int year) {
    return (year % 4 == 0 && year % 100 != 0) || year % 400 == 0;
}

int main() {
    int year;
    scanf(""%d"", &year);
    printf(isLeapYear(year) ? ""%d là n?m nhu?n.\n"" : ""%d không là n?m nhu?n.\n"", year);
    return 0;
}"										
99	Vi?t hàm hoán ??i giá tr? c?a hai bi?n (dùng con tr?).	"#include <stdio.h>

void swap(int *a, int *b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    swap(&a, &b);
    printf(""Sau hoán ??i: a = %d, b = %d\n"", a, b);
    return 0;
}"										
100	Vi?t hàm in b?ng c?u ch??ng c?a m?t s?.	"#include <stdio.h>

void printMultiplicationTable(int n) {
    for (int i = 1; i <= 10; i++) {
        printf(""%d x %d = %d\n"", n, i, n * i);
    }
}

int main() {
    int n;
    scanf(""%d"", &n);
    printMultiplicationTable(n);
    return 0;
}"										
101	Vi?t hàm tính t?ng các s? nguyên t? t? 1 ??n n.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int sumOfPrimes(int n) {
    int sum = 0;
    for (int i = 2; i <= n; i++) {
        if (isPrime(i)) {
            sum += i;
        }
    }
    return sum;
}

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""T?ng s? nguyên t? t? 1 ??n %d: %d\n"", n, sumOfPrimes(n));
    return 0;
}"										
102	Vi?t hàm ki?m tra s? hoàn h?o.	"#include <stdio.h>

int isPerfectNumber(int num) {
    if (num <= 1) return 0;
    int sum = 1;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) {
            sum += i;
            if (i != num / i) {
                sum += num / i;
            }
        }
    }
    return sum == num;
}

int main() {
    int n;
    scanf(""%d"", &n);
    printf(isPerfectNumber(n) ? ""%d là s? hoàn h?o.\n"" : ""%d không là s? hoàn h?o.\n"", n);
    return 0;
}"										
103	"Vi?t hàm in ra các s? chia h?t cho 3 nh?ng không chia h?t cho 5 trong kho?ng [a, b]."	"#include <stdio.h>

void printNumbers(int a, int b) {
    for (int i = a; i <= b; i++) {
        if (i % 3 == 0 && i % 5 != 0) {
            printf(""%d "", i);
        }
    }
    printf(""\n"");
}

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printNumbers(a, b);
    return 0;
}"										
104	Vi?t hàm tính t?ng S = 1 + 1/2 + 1/3 + ... + 1/n.	"#include <stdio.h>

void printNumbers(int a, int b) {
    for (int i = a; i <= b; i++) {
        if (i % 3 == 0 && i % 5 != 0) {
            printf(""%d "", i);
        }
    }
    printf(""\n"");
}

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printNumbers(a, b);
    return 0;
}"										
105	Vi?t hàm chuy?n ??i s? giây thành gi? - phút - giây.	"#include <stdio.h>

float calculateSum(int n) {
    float sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += 1.0 / i;
    }
    return sum;
}

int main() {
    int n;
    scanf(""%d"", &n);
    printf(""T?ng: %.2f\n"", calculateSum(n));
    return 0;
}"										
106	"Vi?t hàm tính di?n tích các hình: tam giác, hình tròn, hình ch? nh?t (3 hàm riêng)."	"#include <stdio.h>

void convertSeconds(int totalSeconds) {
    int h = totalSeconds / 3600;
    int m = (totalSeconds % 3600) / 60;
    int s = totalSeconds % 60;
    printf(""%02d:%02d:%02d\n"", h, m, s);
}

int main() {
    int totalSeconds;
    scanf(""%d"", &totalSeconds);
    convertSeconds(totalSeconds);
    return 0;
}"										
107	Vi?t hàm tìm UCLN và BCNN c?a hai s? nguyên (hai hàm riêng).	"#include <stdio.h>

int gcd(int a, int b) {
    while (b != 0) {
        int temp = b;
        b = a % b;
        a = temp;
    }
    return a;
}

int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}

int main() {
    int a, b;
    scanf(""%d %d"", &a, &b);
    printf(""UCLN: %d\n"", gcd(a, b));
    printf(""BCNN: %d\n"", lcm(a, b));
    return 0;
}"										
108	"Vi?t hàm nh?p m?ng, xu?t m?ng và tìm giá tr? l?n nh?t trong m?ng (ba hàm riêng)."	"#include <stdio.h>

void inputArray(int arr[], int n) {
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
}

void printArray(int arr[], int n) {
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
}

int findMax(int arr[], int n) {
    int max = arr[0];
    for (int i = 1; i < n; i++) {
        if (arr[i] > max) {
            max = arr[i];
        }
    }
    return max;
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    inputArray(arr, n);
    printf(""M?ng: "");
    printArray(arr, n);
    printf(""Giá tr? l?n nh?t: %d\n"", findMax(arr, n));
    return 0;
}"										
109	Vi?t hàm s?p x?p m?ng 1 chi?u theo th? t? t?ng d?n.	"#include <stdio.h>

void sortArray(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                int temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    sortArray(arr, n);
    printf(""M?ng sau s?p x?p: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
